順位	登録番号	馬名	性別	厩舎	指名者数
1	2024106314	エルドボルグ	牡	斉藤崇史	183
2	2024106624	ジャンゴッド	牡	杉山晴紀	148
3	2024106496	ソブリオ	牡	-	119
4	2024106452	チェスティーノ	牡	鹿戸雄一	113
5	2024106654	サンタンジェロ	牝	須貝尚介	104
6	2024106675	ラッキースパークル	牡	松永幹夫	95
7	2024106662	ダノンダックス	牡	田中博康	93
8	2024106292	ノイエルング	牝	斉藤崇史	93
9	2024106164	レジューノワール	牝	木村哲也	76
10	2024106670	ラガリーガ	牡	手塚貴久	74
11	2024106368	ダイナマイク	牡	中内田充	72
12	2024107154	リボンロード	牡	上原佑紀	66
13	2024106349	エクアトーレ	牝	田中博康	63
14	2024106455	ノヴァヴェローチェ	牡	上村洋行	60
15	2024106664	ユタライト	牝	宮田敬介	60
16	2024106622	スタニスラス	牡	矢作芳人	58
17	2024106175	ホウオウモノポリー	牡	友道康夫	57
18	2024106183	ウィクフォード	牡	高野友和	56
19	2024106381	アステリアドンナ	牝	斉藤崇史	54
20	2024106115	イルリサット	牝	菊沢隆徳	54
21	2024106161	ジョドレルバンク	牡	武井亮	53
22	2024106391	シャムリベルク	牝	手塚貴久	52
23	2024106139	ヴェルバーニア	牡	手塚貴久	50
24	2024106538	フィリオソラーレ	牡	木村哲也	50
25	2024106301	リサナウト	牝	黒岩陽一	50
26	2024106309	コナパームス	牡	森一誠	47
27	2024106505	エターナルバラード	牝	武幸四郎	45
28	2024105986	リーベスグルース	牡	杉山晴紀	45
29	2024106684	キングリア	牡	中内田充	41
30	2024106970	アンドロニクス	牡	中内田充	40
31	2024106366	ラトナジャーラ	牝	斉藤崇史	39
32	2024106436	レイデアルマス	牡	杉山佳明	39
33	2024106969	メアグローリア	牝	斉藤崇史	36
34	2024107026	ベラジオパンテーラ	牡	-	36
35	2024106356	ブックオブケルズ	牡	高野友和	35
36	2024106494	ミッドナイトフレア	牡	池添学	35
37	2024106553	ディヴァインスペル	牡	木村哲也	35
38	2024106177	フェイムシーカー	牡	吉岡辰弥	31
39	2024106187	ベルコート	牝	-	31
40	2024106304	コルシャヴィート	牡	森一誠	30
41	2024106294	アレオクール	牝	池添学	30
42	2024106316	キューティボンド	牝	福永祐一	30
43	2024106304	コルシャヴィート	牡	森一誠	30
44	2024107196	ゴールデンプロミス	牡	矢作芳人	29
45	2024105942	ダノンフィガロ	牡	池江泰寿	29
46	2024106297	スプレマレイナ	牝	木村哲也	27
47	2024104316	ジャスティンモナコ	牡	友道康夫	27
48	2024106607	バイコーンハット	牡	堀宣行	26
49	2024106142	ククイプカ	牡	-	25
50	2024106690	リスグロワール	牝	矢作芳人	25
51	2024106657	タクティシアン	牡	森一誠	25
52	2024106425	オールシティキング	牡	手塚貴久	25
53	2024106578	テンポアニマート	牡	手塚貴久	24
54	2024106704	ハッピーダイフゴー	牡	斎藤誠	24
55	2024105872	ブレイクアウェイ	牡	上村洋行	24
56	2024106211	セントベルナール	牡	木村哲也	24
57	2024106748	カマラデロボス	牡	木村哲也	24
58	2024106456	フェイトロード	牡	木村哲也	24
59	2024106655	モシーンの2024	牡	-	23
60	2024106741	トゥーレジット	牡	-	23
61	2024105729	プロテウス	牡	田中博康	21
62	2024106080	ルーメンルーナエ	牡	中内田充	21
63	2024110013	エルゴスフィア	牡	中内田充	20
64	2024105859	ラニアケア	牡	-	20
